name,rating,genre,year,score,budget,gross,runtime
Halloween III: Season of the Witch,R,Horror,1982,5.0,2500000.0,14400000.0,98.0
The Dark Crystal,PG,Adventure,1982,7.2,15000000.0,41630431.0,93.0
The Verdict,R,Drama,1982,7.7,16000000.0,53993738.0,129.0
Pieces,Not Rated,Horror,1982,6.1,300000.0,2032311.0,85.0
Zapped!,R,Comedy,1982,4.9,,16897768.0,98.0
Six Pack,PG,Comedy,1982,5.9,,20225989.0,108.0
The World According to Garp,R,Comedy,1982,7.2,17000000.0,29712172.0,136.0
Diner,R,Comedy,1982,7.1,5000000.0,14099953.0,110.0
The Best Little Whorehouse in Texas,R,Comedy,1982,6.0,35000000.0,69701637.0,114.0
The Year of Living Dangerously,PG,Drama,1982,7.1,13000000.0,10278575.0,115.0
Night Shift,R,Comedy,1982,6.6,,21095638.0,106.0
Summer Lovers,R,Comedy,1982,5.7,,4968000.0,98.0
Victor Victoria,PG,Comedy,1982,7.6,,28229046.0,134.0
The Last Unicorn,G,Animation,1982,7.4,3500000.0,6455330.0,92.0
The Entity,R,Drama,1982,6.7,9000000.0,13277558.0,125.0
Airplane II: the Sequel,PG,Comedy,1982,6.2,15000000.0,27150534.0,85.0
The Toy,PG,Comedy,1982,5.8,17000000.0,47118057.0,102.0
The House on Sorority Row,R,Horror,1982,6.0,425000.0,10604986.0,91.0
Evil Under the Sun,PG,Crime,1982,7.1,10000000.0,6110670.0,117.0
The Sword and the Sorcerer,R,Action,1982,5.6,,39103425.0,99.0
Death Wish II,R,Action,1982,6.0,2000000.0,16100000.0,89.0
Silent Rage,R,Action,1982,5.5,4500000.0,10490791.0,103.0
Megaforce,PG,Action,1982,3.7,20000000.0,5675599.0,99.0
Personal Best,R,Drama,1982,6.3,16000000.0,5672311.0,128.0
Dead Men Don't Wear Plaid,PG,Comedy,1982,6.9,9000000.0,18196170.0,88.0
Amityville II: The Possession,R,Horror,1982,5.5,5000000.0,12534817.0,104.0
Missing,PG,Biography,1982,7.7,9500000.0,14000000.0,122.0
Frances,R,Biography,1982,7.3,,,140.0
The Seduction,R,Thriller,1982,4.9,,11378339.0,104.0
Cannery Row,PG,Comedy,1982,6.7,11300000.0,5301539.0,120.0
Deathtrap,PG,Comedy,1982,7.0,,19282134.0,116.0
Tex,PG,Drama,1982,6.5,,7400000.0,103.0
Time Walker,PG,Horror,1982,3.6,750000.0,,83.0
"I, the Jury",R,Crime,1982,5.9,,1515578.0,111.0
Tempest,PG,Comedy,1982,6.5,13000000.0,5005245.0,140.0
Young Doctors in Love,R,Comedy,1982,5.5,,30688860.0,96.0
My Favorite Year,PG,Comedy,1982,7.4,,20123620.0,92.0
Still of the Night,PG,Crime,1982,6.1,10000000.0,5979947.0,93.0
Parasite,R,Horror,1982,3.9,800000.0,2270.0,85.0
Making Love,R,Drama,1982,6.9,,11897978.0,113.0
Honkytonk Man,PG,Comedy,1982,6.6,2000000.0,4484991.0,122.0
The Beast Within,R,Horror,1982,5.6,,7742572.0,98.0
"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",PG,Comedy,1982,7.2,850000.0,840958.0,109.0
The Final Option,R,Action,1982,6.4,6000000.0,2666873.0,125.0
Trail of the Pink Panther,PG,Comedy,1982,5.0,6000000.0,9056073.0,96.0
The Sender,R,Drama,1982,6.0,,1054328.0,91.0
The Border,R,Crime,1982,6.4,22000000.0,6118683.0,108.0
Kiss Me Goodbye,PG,Comedy,1982,6.0,,15782759.0,101.0
A Midsummer Night's Sex Comedy,PG,Comedy,1982,6.6,,9077269.0,88.0
Vice Squad,R,Action,1982,6.5,,13253583.0,97.0
Best Friends,PG,Comedy,1982,5.5,15000000.0,36821203.0,116.0
Shoot the Moon,R,Drama,1982,6.9,12000000.0,9217530.0,124.0
Lookin' to Get Out,R,Comedy,1982,5.1,17000000.0,946461.0,105.0
Barbarosa,PG,Western,1982,6.4,11000000.0,1736123.0,90.0
Visiting Hours,R,Horror,1982,5.7,,13258670.0,103.0
A Little Sex,R,Comedy,1982,4.9,,2370376.0,95.0
Class Reunion,R,Comedy,1982,4.7,,10054150.0,84.0
Hanky Panky,PG,Action,1982,5.6,,9823934.0,110.0
Author! Author!,PG,Comedy,1982,6.2,,13111101.0,110.0
Split Image,R,Drama,1982,6.5,,263635.0,110.0
The Challenge,R,Action,1982,6.3,,2977706.0,108.0
The Soldier,R,Action,1982,5.3,4000000.0,6328816.0,96.0
Wrong Is Right,R,Comedy,1982,5.7,10000000.0,3583513.0,117.0
Six Weeks,PG,Drama,1982,5.7,,6668025.0,107.0
The State of Things,,Drama,1982,7.0,,3700.0,121.0
Jekyll and Hyde... Together Again,R,Sci-Fi,1982,6.2,5000000.0,3792188.0,87.0
Forced Vengeance,R,Action,1982,5.6,5000000.0,6660333.0,90.0
The Missionary,R,Comedy,1982,6.2,,7241180.0,90.0
The Escape Artist,PG,Comedy,1982,6.2,,143369.0,94.0
Night Crossing,PG,Drama,1982,6.5,10000000.0,8000000.0,107.0
Endangered Species,R,Drama,1982,5.9,,1474249.0,97.0
Things Are Tough All Over,R,Action,1982,6.0,7000000.0,21134374.0,90.0
Homework,R,Comedy,1982,3.5,,2914328.0,90.0
Jinxed!,R,Comedy,1982,4.7,13400000.0,2869638.0,103.0
The Return of Martin Guerre,Not Rated,Biography,1982,7.4,,3723036.0,112.0
They Call Me Bruce,PG,Action,1982,5.7,,16894678.0,87.0
Some Kind of Hero,R,Comedy,1982,5.8,,23671186.0,97.0
Hammett,PG,Crime,1982,6.5,,42914.0,97.0
Five Days One Summer,PG,Drama,1982,6.1,15000000.0,199078.0,108.0
Penitentiary II,R,Crime,1982,4.4,,3178542.0,108.0
If You Could See What I Hear,PG,Biography,1982,6.8,,8693512.0,103.0
Partners,R,Comedy,1982,5.3,6000000.0,6062898.0,93.0
Richard Pryor: Live on the Sunset Strip,R,Comedy,1982,7.7,,36299720.0,82.0
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,G,Animation,1982,7.1,,78350.0,74.0
Monsignor,R,Crime,1982,5.1,,12408066.0,121.0
"Yes, Giorgio",PG,Comedy,1982,3.9,19000000.0,2279543.0,110.0
I Ought to Be in Pictures,PG,Comedy,1982,6.2,,6968359.0,108.0
La traviata,G,Drama,1982,7.2,,3783329.0,109.0
Fighting Back,R,Action,1982,6.1,,3355948.0,98.0
Kamikaze 89,Not Rated,Sci-Fi,1982,5.8,,22440.0,106.0
The Wizard of Oz,Not Rated,Animation,1982,6.8,,,78.0
Heidi's Song,G,Animation,1982,6.3,,5124391.0,94.0
Love Child,R,Crime,1982,5.7,,,96.0
Boardinghouse,R,Comedy,1982,3.8,10000.0,,98.0
Experience Preferred... But Not Essential,PG,Drama,1982,7.0,,,80.0
The Personals,PG,Comedy,1982,6.7,435000.0,,90.0
Lonely Hearts,R,Comedy,1982,6.8,,777087.0,106.0
Scarface,R,Crime,1983,8.3,25000000.0,65884703.0,170.0
The Outsiders,PG,Crime,1983,7.1,10000000.0,25697647.0,91.0
Star Wars: Episode VI - Return of the Jedi,PG,Action,1983,8.3,32500000.0,475106177.0,131.0
Risky Business,R,Comedy,1983,6.8,6200000.0,63541777.0,99.0
National Lampoon's Vacation,R,Adventure,1983,7.4,15000000.0,61399552.0,98.0
Trading Places,R,Comedy,1983,7.5,15000000.0,90404800.0,116.0
Superman III,PG,Action,1983,5.0,39000000.0,59950623.0,125.0
The Big Chill,R,Comedy,1983,7.2,8000000.0,56399659.0,105.0
Staying Alive,PG,Drama,1983,4.7,22000000.0,64892670.0,93.0
Jaws 3-D,PG,Adventure,1983,3.7,20500000.0,87987055.0,99.0
Christine,R,Horror,1983,6.7,9700000.0,21017849.0,110.0
Sleepaway Camp,R,Horror,1983,6.3,350000.0,,84.0
Flashdance,R,Drama,1983,6.2,4000000.0,92921203.0,95.0
WarGames,PG,Action,1983,7.1,12000000.0,79567667.0,114.0
The Right Stuff,PG,Adventure,1983,7.8,27000000.0,21192315.0,193.0
Krull,PG,Action,1983,6.1,47000000.0,16916617.0,121.0
Spring Break,R,Comedy,1983,4.9,,24071666.0,102.0
The Dead Zone,R,Drama,1983,7.2,10000000.0,20766616.0,103.0
Octopussy,PG,Action,1983,6.5,27500000.0,67893619.0,131.0
Private School,R,Comedy,1983,5.3,3500000.0,14049540.0,89.0
Valley Girl,R,Comedy,1983,6.4,350000.0,17343596.0,99.0
Rumble Fish,R,Crime,1983,7.2,10000000.0,2494480.0,94.0
Videodrome,R,Horror,1983,7.2,5952000.0,2120439.0,87.0
Terms of Endearment,PG,Comedy,1983,7.4,8000000.0,108423749.0,132.0
Twilight Zone: The Movie,PG,Horror,1983,6.5,10000000.0,29450919.0,101.0
Never Say Never Again,PG,Action,1983,6.2,36000000.0,55432841.0,134.0
A Christmas Story,PG,Comedy,1983,7.9,3300000.0,20653717.0,93.0
Cujo,R,Horror,1983,6.1,5000000.0,21156152.0,93.0
Sudden Impact,R,Action,1983,6.6,22000000.0,67642693.0,117.0
The Hunger,R,Drama,1983,6.7,,5988322.0,97.0
Mr. Mom,PG,Comedy,1983,6.6,,64783827.0,91.0
Blue Thunder,R,Action,1983,6.4,22000000.0,42313354.0,109.0
Breathless,R,Action,1983,5.9,7500000.0,19910002.0,100.0
Psycho II,R,Crime,1983,6.5,5000000.0,34725000.0,113.0
Local Hero,PG,Comedy,1983,7.4,,5899678.0,111.0
Bad Boys,R,Crime,1983,7.2,,9190819.0,123.0
Silkwood,R,Biography,1983,7.2,10000000.0,35615609.0,131.0
All the Right Moves,R,Drama,1983,5.9,5600000.0,17233166.0,91.0
The Keep,R,Drama,1983,5.7,11000000.0,4218594.0,96.0
My Tutor,R,Comedy,1983,5.2,,22587834.0,97.0
Yentl,PG,Drama,1983,6.6,12000000.0,40218899.0,133.0
Fire and Ice,PG,Animation,1983,6.6,1200000.0,760883.0,81.0
Eddie and the Cruisers,PG,Drama,1983,6.9,,4786789.0,95.0
Yellowbeard,PG,Action,1983,6.0,6500000.0,4300000.0,96.0
The Meaning of Life,R,Comedy,1983,7.5,9000000.0,14949697.0,107.0
Nostalghia,Not Rated,Drama,1983,8.1,,55269.0,125.0
Hot Dog... The Movie,R,Comedy,1983,5.0,,20307325.0,96.0
Smokey and the Bandit Part 3,PG,Action,1983,3.5,,5678950.0,85.0
Deathstalker,R,Action,1983,4.6,457000.0,11919250.0,80.0
Porky's II: The Next Day,R,Comedy,1983,5.0,6500000.0,33759266.0,98.0
Something Wicked This Way Comes,PG,Fantasy,1983,6.8,19000000.0,8400000.0,95.0
Tender Mercies,PG,Drama,1983,7.4,,8443124.0,92.0
Star 80,R,Biography,1983,6.7,12000000.0,6472990.0,103.0
Gorky Park,R,Crime,1983,6.7,15000000.0,15856028.0,128.0
Lone Wolf McQuade,PG,Action,1983,6.3,5000000.0,12232628.0,107.0
Easy Money,R,Comedy,1983,6.3,,29309766.0,95.0
Merry Christmas Mr. Lawrence,R,Drama,1983,7.3,,2306560.0,123.0
Losin' It,R,Comedy,1983,4.9,7000000.0,1246141.0,100.0
